DATE,USD.EUR,USD.GBP,USD.CNY,USD.JPY
1/28/2013,1.3459,1.5686,6.224,90.73
1/29/2013,1.3484,1.5751,6.2259,90.65
1/30/2013,1.3564,1.5793,6.2204,91.05
1/31/2013,1.3584,1.5856,6.2186,91.28
2/1/2013,1.3692,1.5744,6.2265,92.54
2/4/2013,1.3527,1.5737,6.2326,92.57
2/5/2013,1.3569,1.5652,6.2292,93.34
2/6/2013,1.3528,1.5655,6.2315,93.56
2/7/2013,1.3382,1.5712,6.2323,93.24
2/8/2013,1.3366,1.5814,6.2323,92.72
2/11/2013,1.3414,1.5668,6.2323,93.44
2/12/2013,1.345,1.5654,6.2323,93.14
2/13/2013,1.3448,1.5544,6.2323,93.39
2/14/2013,1.3334,1.5502,6.2323,93.1
2/15/2013,1.3362,1.5518,6.2323,93.64
2/19/2013,1.3387,1.5432,6.2438,93.54
2/20/2013,1.335,1.5301,6.2371,93.53
2/21/2013,1.3204,1.5263,6.2403,92.96
2/22/2013,1.3166,1.5256,6.2346,93.35
2/25/2013,1.3172,1.5112,6.2337,93.35
2/26/2013,1.3054,1.5125,6.2293,91.38
2/27/2013,1.3104,1.5134,6.2271,91.88
2/28/2013,1.3079,1.5192,6.2213,92.36
3/1/2013,1.2988,1.5033,6.2226,93.38
3/4/2013,1.2996,1.5084,6.2246,93.32
3/5/2013,1.3019,1.5098,6.2208,93.39
3/6/2013,1.299,1.5036,6.2173,93.64
3/7/2013,1.3098,1.5032,6.22,95
3/8/2013,1.2992,1.4926,6.2145,96
3/11/2013,1.3014,1.4898,6.2179,96.12
3/12/2013,1.3023,1.4877,6.216,95.96
3/13/2013,1.2949,1.4925,6.2137,96
3/14/2013,1.2974,1.5039,6.2145,96.16
3/15/2013,1.3076,1.5124,6.2133,95.26
3/18/2013,1.2956,1.5113,6.2156,94.92
3/19/2013,1.2888,1.5118,6.2154,94.85
3/20/2013,1.295,1.5133,6.2117,95.51
3/21/2013,1.2928,1.518,6.2141,95.06
3/22/2013,1.2996,1.5239,6.212,94.48
3/25/2013,1.2881,1.5184,6.2105,94.34
3/26/2013,1.2858,1.5156,6.2108,94.22
3/27/2013,1.2782,1.5112,6.2138,94.38
3/28/2013,1.2842,1.5184,6.2143,94.02
3/29/2013,1.2816,1.5193,6.2108,94.16
4/1/2013,1.2857,1.5232,6.2078,93.3
4/2/2013,1.2836,1.5113,6.1992,93.43
4/3/2013,1.2847,1.514,6.1962,92.96
4/4/2013,1.2854,1.5198,6.2005,96.12
4/5/2013,1.3027,1.5336,6.2005,96.86
4/8/2013,1.3008,1.5257,6.2031,98.9
4/9/2013,1.3092,1.5317,6.2022,99.02
4/10/2013,1.306,1.5315,6.1938,99.61
4/11/2013,1.3124,1.5403,6.1961,99.42
4/12/2013,1.3094,1.5373,6.1914,98.98
4/15/2013,1.3082,1.532,6.1866,98
4/16/2013,1.3141,1.5316,6.1824,97.86
4/17/2013,1.3049,1.5255,6.172,97.74
4/18/2013,1.3072,1.5282,6.1811,98.22
4/19/2013,1.3066,1.5254,6.1772,99.28
4/22/2013,1.305,1.5262,6.1823,99.29
4/23/2013,1.3012,1.5267,6.179,99.43
4/24/2013,1.2997,1.5258,6.1782,99.39
4/25/2013,1.3004,1.5434,6.1707,99.42
4/26/2013,1.3024,1.5479,6.1647,97.84
4/29/2013,1.309,1.5497,6.1647,98.09
4/30/2013,1.3168,1.5539,6.1647,97.52
5/1/2013,1.3192,1.5578,6.1647,97.28
5/2/2013,1.3066,1.5519,6.156,97.96
5/3/2013,1.3112,1.5563,6.1555,99.1
5/6/2013,1.3067,1.5538,6.1665,99.35
5/7/2013,1.3085,1.5468,6.1539,99
